State,Location_code,Latitude,Longitude,Start_date,End_date
Kansas,Histgen_Ashland,39.137253,-96.636581,04/27/2018,10/17/2018
Kansas,Agrocete_Ashland,39.122417,-96.637027,06/18/2018,10/29/2018
Kansas,NitSulfur_Topeka,39.076541,-95.770844,05/10/2018,10/03/2018
